"uid","userName","catagory","sub_catagory","product","listing_amount","counts","total_bid_amount"
"7ec3c81f-4340-428c-89d4-8f2dbe17d8a1","checkmeout_","Celebrity Signings","Movie Celebrities","Kevin Dillon Autographed 8x10 Print ","1","1","1"
"a469955b-a20d-4cb3-8ddf-a2fd4ca57b89","DeadStockNH","Celebrity Signings","TV Celebrities","Bakugo Autographed 11x17 Print","1","4","29"
"7c10f78f-ecfb-4053-848f-6fabfada083c","bankai","Celebrity Signings","TV Celebrities","Bakugo Autographed 11x17 Print","1","4","46"
"c8d09ded-5f83-40d5-ab4e-d33c88ed16ba","Modern_Vintage_NYC ","Celebrity Signings","TV Celebrities","Bakugo Autographed 11x17 Print","1","3","26"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Celebrity Signings","TV Celebrities","Kevin Dillon Autographed 8x10 Print","1","3","12"
"a8580fd0-8e4b-4b96-843b-5ae4fce587bd","steve","Celebrity Signings","TV Celebrities","Kevin Dillon Autographed 8x10 Print","1","2","6"
"59821888-8adf-400a-8077-fa9d13b67c1b","Jordar6845","Celebrity Signings","TV Celebrities","Bakugo Autographed 11x17 Print","1","1","3"
"7d37789b-6766-483c-b69f-d941fbce0a15","OB_Toxic","Celebrity Signings","TV Celebrities","Bakugo Autographed 11x17 Print","1","1","9"
"76772b72-e56e-43ec-9551-16cea2505052","Griinchzzz","Celebrity Signings","TV Celebrities","Traci Bingham Autographed 8x10 Print","1","1","1"
"7190e3d9-7329-4e12-8f34-fd57819aa878","y3d_ffx","Celebrity Signings","TV Celebrities","Bakugo Autographed 11x17 Print","1","1","2"
"7803c004-319c-40fa-ac06-299a879ac4a0","funky_flip_lk","Celebrity Signings","TV Celebrities","Kevin Dillon Autographed 8x10 Print","1","1","3"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Designer Toys
","Handmade By Robots Marty Mcfly ","1","3","13"
"cde10716-4856-4dcb-8d73-683039dea317","Mr_Santos_TV","Collectible Toys","Designer Toys
","Handmade By Robots Marty Mcfly ","1","2","6"
"13b7bfc2-e5e4-4e8a-9957-34e513ba141f","masonking282","Collectible Toys","Designer Toys
","Handmade By Robots Marty Mcfly ","1","1","6"
"ba2b7c48-ab7d-463c-a8d9-d73ee8c704f4","sobrown","Collectible Toys","Designer Toys
","Handmade By Robots Marty Mcfly ","1","1","3"
"b5f69a73-5ad6-4afd-a568-5aa1be981615","Elcastillo1122","Collectible Toys","Funko","Golden Frieza 47 (Black Eyes) SDCC 2015","1","37","33528"
"b5f69a73-5ad6-4afd-a568-5aa1be981615","Elcastillo1122","Collectible Toys","Funko","Drew Brees (Autographed)","1","27","2757"
"2395c8de-5a0a-42df-a51e-0f3f030fcc1b","iLovePops","Collectible Toys","Funko","Golden Frieza 47 (Black Eyes) SDCC 2015","1","27","28485"
"8f6fbe72-827d-4984-9cf1-b09707ff9ac1","FGS Autographs","Collectible Toys","Funko","Thomas Shelby - Cillian Murphy Auto","1","20","3444"
"a8580fd0-8e4b-4b96-843b-5ae4fce587bd","steve","Collectible Toys","Funko","Obi-Wan Kenobi 393 Ewan McGregor Auto","1","17","768"
"8f6fbe72-827d-4984-9cf1-b09707ff9ac1","FGS Autographs","Collectible Toys","Funko","Drew Brees (Autographed)","1","17","2802"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","Obi-Wan Kenobi 393 Ewan McGregor Auto","1","16","2344"
"7c10f78f-ecfb-4053-848f-6fabfada083c","bankai","Collectible Toys","Funko","Jon Snow (Autographed)","1","16","1039"
"2a95da21-2114-402b-9aa6-66dbcb27d084","max","Collectible Toys","Funko","🚨 Flash Auction! 🚨 Official C2E2","1","16","1097"
"4a348b7b-1268-4962-b647-1cad8aebb1a0","FR3DO","Collectible Toys","Funko","Signed Kabuto funko #936","1","15","428"
"b5f69a73-5ad6-4afd-a568-5aa1be981615","Elcastillo1122","Collectible Toys","Funko","Fry and Leela Futurama 1/750 PCS Grail","1","15","2106"
"2bfadb1a-da6d-44cc-849c-552693c0f574","xh.vtg ","Collectible Toys","Funko","JVA Franky Signed Funko Pop ","1","14","2136"
"70b74c2f-9648-4ec7-93b5-49b285894ec8","ezm.popz","Collectible Toys","Funko","Funko Luke Skywalker ","1","13","1109"
"cde10716-4856-4dcb-8d73-683039dea317","Mr_Santos_TV","Collectible Toys","Funko","Funko Luke Skywalker ","1","13","1015"
"3988c122-122a-4305-8c91-f70d59255d54","smetcalf","Collectible Toys","Funko","Lucky Po","5","13","676"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","🚨Flash Sale🚨 Jon Jones Autograph Becke","1","13","1251"
"f441c9cc-a59d-44db-bfa4-e27abe31e16a","Javiloso","Collectible Toys","Funko","Yamato chase ","1","13","465"
"2bfadb1a-da6d-44cc-849c-552693c0f574","xh.vtg ","Collectible Toys","Funko","Armored Chopper (Autographed)","1","12","439"
"3988c122-122a-4305-8c91-f70d59255d54","smetcalf","Collectible Toys","Funko","Terra Cotta Po","5","12","460"
"3882937b-5dee-42e4-8f2c-3b65c50129e9","VinWeasel","Collectible Toys","Funko","Luke Skywalker (Autographed)","1","11","7830"
"3d30d644-903a-488a-a5e0-f8692080f7b9","Sofoula","Collectible Toys","Funko","Thomas Shelby - Cillian Murphy Auto","1","11","410"
"7190e3d9-7329-4e12-8f34-fd57819aa878","y3d_ffx","Collectible Toys","Funko","🚨 Flash Auction! 🚨 Official C2E2","1","11","215"
"5dce8cf3-36fc-4689-b13f-345d5d4fae2b","GameOfPops","Collectible Toys","Funko","Jon Snow (Autographed)","1","11","431"
"1a9ee37f-2dd0-4bc7-ac39-c5dabfe80b9c","olive137","Collectible Toys","Funko","Tobi (Autographed)","1","11","281"
"b5f69a73-5ad6-4afd-a568-5aa1be981615","Elcastillo1122","Collectible Toys","Funko","Shanks 939 Chase SE","1","11","387"
"f441c9cc-a59d-44db-bfa4-e27abe31e16a","Javiloso","Collectible Toys","Funko","samurai brook chase ","1","11","524"
"f7265501-8faf-4b42-a117-ede939be3d1d","Funkoguy1","Collectible Toys","Funko","Howie Mandel Autographed Gizmo Funko Pop","1","11","869"
"aa806da2-0c29-4d97-a182-96f24744b4cd","vettygabe ","Collectible Toys","Funko","Funko Zoro Error Glow","1","10","152"
"01f8accd-1b0b-4fd3-9da5-799ea1bbcceb","DJBones","Collectible Toys","Funko","Super Saiyan Vegeta Chase (Autographed)","1","10","427"
